Y_WGS84;X_WGS84;N
48.5;1;43.316
48.5;1.015;43.306
48.5;1.03;43.295
48.5;1.045;43.287
48.5;1.06;43.279
48.5;1.075;43.272
48.5;1.09;43.261
48.5;1.105;43.248
48.5;1.12;43.234
48.5;1.135;43.22
48.5;1.15;43.206
48.5;1.165;43.193
48.5;1.18;43.18
48.5;1.195;43.169
48.5;1.21;43.157
48.5;1.225;43.143
48.5;1.24;43.13
48.5;1.255;43.117
48.5;1.27;43.106
48.5;1.285;43.093
48.5;1.3;43.08
48.5;1.315;43.064
48.5;1.33;43.047
48.5;1.345;43.03
48.5;1.36;43.015
48.5;1.375;42.998
48.5;1.39;42.98
48.5;1.405;42.962
48.5;1.42;42.945
48.5;1.435;42.928
48.5;1.45;42.911
48.5;1.465;42.895
48.5;1.48;42.878
48.5;1.495;42.861
48.5;1.51;42.844
48.5;1.525;42.825
48.5;1.54;42.808
48.5;1.555;42.791
48.5;1.57;42.773
48.5;1.585;42.756
48.5;1.6;42.74
48.5;1.615;42.725
48.5;1.63;42.71
48.5;1.645;42.694
48.5;1.66;42.68
48.5;1.675;42.665
48.5;1.69;42.65
48.5;1.705;42.636
48.5;1.72;42.623
48.5;1.735;42.61
48.5;1.75;42.597
48.5;1.765;42.585
48.5;1.78;42.573
48.5;1.795;42.562
48.5;1.81;42.551
48.5;1.825;42.54
48.5;1.84;42.531
48.5;1.855;42.522
48.5;1.87;42.513
48.5;1.885;42.506
48.5;1.9;42.498
48.5;1.915;42.488
48.5;1.93;42.479
48.5;1.945;42.47
48.5;1.96;42.461
48.5;1.975;42.451
48.5;1.99;42.443
48.5;2.005;42.432
48.5;2.02;42.423
48.5;2.035;42.414
48.5;2.05;42.404
48.5;2.065;42.394
48.5;2.08;42.384
48.5;2.095;42.373
48.5;2.11;42.364
48.5;2.125;42.356
48.5;2.14;42.351
48.5;2.155;42.344
48.5;2.17;42.336
48.5;2.185;42.326
48.5;2.2;42.316
48.5;2.215;42.31
48.5;2.23;42.306
48.5;2.245;42.305
48.5;2.26;42.304
48.5;2.275;42.3
48.5;2.29;42.296
48.5;2.305;42.293
48.5;2.32;42.289
48.5;2.335;42.286
48.5;2.35;42.284
48.5;2.365;42.284
48.5;2.38;42.287
48.5;2.395;42.293
48.5;2.41;42.3
48.5;2.425;42.303
48.5;2.44;42.304
48.5;2.455;42.301
48.5;2.47;42.304
48.5;2.485;42.306
48.5;2.5;42.309
48.5;2.515;42.312
48.5;2.53;42.316
48.5;2.545;42.321
48.5;2.56;42.327
48.5;2.575;42.333
48.5;2.59;42.338
48.5;2.605;42.344
48.5;2.62;42.349
48.5;2.635;42.354
48.5;2.65;42.361
48.5;2.665;42.369
48.5;2.68;42.374
48.5;2.695;42.38
48.5;2.71;42.386
48.5;2.725;42.395
48.5;2.74;42.402
48.5;2.755;42.41
48.5;2.77;42.419
48.5;2.785;42.428
48.5;2.8;42.438
48.5;2.815;42.448
48.5;2.83;42.459
48.5;2.845;42.47
48.5;2.86;42.483
48.5;2.875;42.495
48.5;2.89;42.507
48.5;2.905;42.519
48.5;2.92;42.529
48.5;2.935;42.54
48.5;2.95;42.551
48.5;2.965;42.564
48.5;2.98;42.576
48.5;2.995;42.588
48.5;3.01;42.599
48.5;3.025;42.61
48.5;3.04;42.622
48.5;3.055;42.633
48.5;3.07;42.642
48.5;3.085;42.653
48.5;3.1;42.664
48.5;3.115;42.673
48.5;3.13;42.683
48.5;3.145;42.692
48.5;3.16;42.701
48.5;3.175;42.71
48.5;3.19;42.72
48.5;3.205;42.728
48.5;3.22;42.735
48.5;3.235;42.742
48.5;3.25;42.753
48.5;3.265;42.765
48.5;3.28;42.778
48.5;3.295;42.79
48.5;3.31;42.798
48.5;3.325;42.804
48.5;3.34;42.811
48.5;3.355;42.817
48.5;3.37;42.824
48.5;3.385;42.83
48.5;3.4;42.836
48.5;3.415;42.842
48.5;3.43;42.851
48.5;3.445;42.859
48.5;3.46;42.865
48.5;3.475;42.874
48.5;3.49;42.884
48.5;3.505;42.894
48.5;3.52;42.906
48.5;3.535;42.916
48.5;3.55;42.926
48.5;3.565;42.937
48.5;3.58;42.95
48.5;3.595;42.964
48.5;3.61;42.979
48.5;3.625;42.992
48.5;3.64;43.003
48.5;3.655;43.013
48.5;3.67;43.025
48.5;3.685;43.04
48.5;3.7;43.053
48.5;3.715;43.065
48.5;3.73;43.077
48.5;3.745;43.091
48.5;3.76;43.104
48.5;3.775;43.117
48.5;3.79;43.13
48.5;3.805;43.144
48.5;3.82;43.157
48.5;3.835;43.171
48.5;3.85;43.185
48.5;3.865;43.199
48.5;3.88;43.213
48.5;3.895;43.228
48.5;3.91;43.243
48.5;3.925;43.26
48.5;3.94;43.278
48.5;3.955;43.296
48.5;3.97;43.316
48.5;3.985;43.335
48.5;4;43.351
48.5;4.015;43.367
48.5;4.03;43.384
48.5;4.045;43.402
48.5;4.06;43.419
48.5;4.075;43.438
48.5;4.09;43.458
48.5;4.105;43.478
48.5;4.12;43.499
48.5;4.135;43.521
48.5;4.15;43.543
48.5;4.165;43.565
48.5;4.18;43.585
48.5;4.195;43.606
48.5;4.21;43.625
48.5;4.225;43.644
48.5;4.24;43.664
48.5;4.255;43.684
48.5;4.27;43.7
48.5;4.285;43.716
48.5;4.3;43.733
48.5;4.315;43.751
48.5;4.33;43.769
48.5;4.345;43.788
48.5;4.36;43.807
48.5;4.375;43.826
48.5;4.39;43.846
48.5;4.405;43.865
48.5;4.42;43.882
48.5;4.435;43.901
48.5;4.45;43.92
48.5;4.465;43.937
48.5;4.48;43.956
48.5;4.495;43.975
48.5;4.51;43.995
48.5;4.525;44.014
48.5;4.54;44.031
48.5;4.555;44.05
48.5;4.57;44.068
48.5;4.585;44.084
48.5;4.6;44.101
48.5;4.615;44.119
48.5;4.63;44.136
48.5;4.645;44.154
48.5;4.66;44.172
48.5;4.675;44.191
48.5;4.69;44.211
48.5;4.705;44.23
48.5;4.72;44.251
48.5;4.735;44.271
48.5;4.75;44.291
48.5;4.765;44.312
48.5;4.78;44.332
48.5;4.795;44.353
48.5;4.81;44.374
48.5;4.825;44.395
48.5;4.84;44.417
48.5;4.855;44.44
48.5;4.87;44.463
48.5;4.885;44.488
48.5;4.9;44.512
48.5;4.915;44.536
48.5;4.93;44.559
48.5;4.945;44.582
48.5;4.96;44.606
48.5;4.975;44.631
48.5;4.99;44.655
48.5;5.005;44.68
48.5;5.02;44.704
48.5;5.035;44.729
48.5;5.05;44.752
48.5;5.065;44.774
48.5;5.08;44.792
48.5;5.095;44.809
48.5;5.11;44.826
48.5;5.125;44.844
48.5;5.14;44.865
48.5;5.155;44.888
48.5;5.17;44.91
48.5;5.185;44.934
48.5;5.2;44.956
48.5;5.215;44.98
48.5;5.23;45.001
48.5;5.245;45.022
48.5;5.26;45.043
48.5;5.275;45.06
48.5;5.29;45.076
48.5;5.305;45.094
48.5;5.32;45.114
48.5;5.335;45.135
48.5;5.35;45.155
48.5;5.365;45.176
48.5;5.38;45.196
48.5;5.395;45.216
48.5;5.41;45.232
48.5;5.425;45.246
48.5;5.44;45.256
48.5;5.455;45.265
48.5;5.47;45.276
48.5;5.485;45.287
48.5;5.5;45.298
48.5;5.515;45.311
48.5;5.53;45.324
48.5;5.545;45.336
48.5;5.56;45.347
48.5;5.575;45.357
48.5;5.59;45.364
48.5;5.605;45.367
48.5;5.62;45.364
48.5;5.635;45.362
48.5;5.65;45.359
48.5;5.665;45.356
48.5;5.68;45.355
48.5;5.695;45.355
48.5;5.71;45.358
48.5;5.725;45.361
48.5;5.74;45.366
48.5;5.755;45.371
48.5;5.77;45.376
48.5;5.785;45.376
48.5;5.8;45.375
48.5;5.815;45.374
48.5;5.83;45.376
48.5;5.845;45.378
48.5;5.86;45.38
48.5;5.875;45.385
48.5;5.89;45.387
48.5;5.905;45.391
48.5;5.92;45.395
48.5;5.935;45.4
48.5;5.95;45.402
48.5;5.965;45.395
48.5;5.98;45.388
48.5;5.995;45.383
48.5;6.01;45.379
48.5;6.025;45.377
48.5;6.04;45.376
48.5;6.055;45.376
48.5;6.07;45.377
48.5;6.085;45.379
48.5;6.1;45.383
48.5;6.115;45.386
48.5;6.13;45.39
48.5;6.145;45.397
48.5;6.16;45.408
48.5;6.175;45.419
48.5;6.19;45.43
48.5;6.205;45.445
48.5;6.22;45.462
48.5;6.235;45.478
48.5;6.25;45.492
48.5;6.265;45.503
48.5;6.28;45.514
48.5;6.295;45.528
48.5;6.31;45.545
48.5;6.325;45.565
48.5;6.34;45.586
48.5;6.355;45.603
48.5;6.37;45.618
48.5;6.385;45.633
48.5;6.4;45.65
48.5;6.415;45.666
48.5;6.43;45.682
48.5;6.445;45.701
48.5;6.46;45.722
48.5;6.475;45.743
48.5;6.49;45.767
48.5;6.505;45.791
48.5;6.52;45.814
48.5;6.535;45.836
48.5;6.55;45.86
48.5;6.565;45.882
48.5;6.58;45.904
48.5;6.595;45.927
48.5;6.61;45.949
48.5;6.625;45.971
48.5;6.64;45.993
48.5;6.655;46.016
48.5;6.67;46.041
48.5;6.685;46.066
48.5;6.7;46.091
48.5;6.715;46.119
48.5;6.73;46.145
